,cost,probabilities,shares,p_shares,payments,round_num
0,219.72245773362195,"{'A': 0.3333333333333333, 'B': 0.3333333333333333, 'C': 0.3333333333333333}","{'A': 0.0, 'B': 0.0, 'C': 0.0}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}",0
1,219.95623227924247,"{'A': 0.3337567131315442, 'B': 0.3330393584470676, 'C': 0.333203928421388}","{'A': 0.4876412356127021, 'B': 0.05731178899021294, 'C': 0.15611652348353555}","{1: {'A': 0.4876412356127021, 'B': 0.05731178899021294, 'C': 0.15611652348353555}, 2: {'A': 0.4876412356127021, 'B': 0.05731178899021294, 'C': 0.15611652348353555}, 3: {'A': 0.4876412356127021, 'B': 0.05731178899021294, 'C': 0.15611652348353555}}","{1: {'A': 0.2337745456205198, 'B': 0.2337745456205198, 'C': 0.2337745456205198}, 2: {'A': 0.2337745456205198, 'B': 0.2337745456205198, 'C': 0.2337745456205198}, 3: {'A': 0.2337745456205198, 'B': 0.2337745456205198, 'C': 0.2337745456205198}}",1
2,220.39707336688906,"{'A': 0.33431880370398626, 'B': 0.3328744422404846, 'C': 0.33280675405552895}","{'A': 1.2650255378563564, 'B': 0.39909128050575193, 'C': 0.3584182462872363}","{1: {'A': 0.7773843022436542, 'B': 0.341779491515539, 'C': 0.20230172280370073}, 2: {'A': 0.7773843022436542, 'B': 0.341779491515539, 'C': 0.20230172280370073}, 3: {'A': 0.7773843022436542, 'B': 0.341779491515539, 'C': 0.20230172280370073}}","{1: {'A': 0.4409125446066753, 'B': 0.44062907672477536, 'C': 0.44057653283405784}, 2: {'A': 0.4409125446066753, 'B': 0.44062907672477536, 'C': 0.44057653283405784}, 3: {'A': 0.4409125446066753, 'B': 0.44062907672477536, 'C': 0.44057653283405784}}",2
3,220.48064022055266,"{'A': 0.3341820294255863, 'B': 0.3327743494859788, 'C': 0.333043621088435}","{'A': 1.2667529839798954, 'B': 0.42251064708348074, 'C': 0.5842795563271842}","{1: {'A': 0.0017274461235390337, 'B': 0.023419366577728806, 'C': 0.22586131003994792}, 2: {'A': 0.0017274461235390337, 'B': 0.023419366577728806, 'C': 0.22586131003994792}, 3: {'A': 0.0017274461235390337, 'B': 0.023419366577728806, 'C': 0.22586131003994792}}","{1: {'A': 0.08352188189516596, 'B': 0.08365474676256213, 'C': 0.0837798270358121}, 2: {'A': 0.08352188189516596, 'B': 0.08365474676256213, 'C': 0.0837798270358121}, 3: {'A': 0.08352188189516596, 'B': 0.08365474676256213, 'C': 0.0837798270358121}}",3
4,221.0747994247877,"{'A': 0.3343834260043867, 'B': 0.33260711856629804, 'C': 0.3330094554293153}","{'A': 1.9814069480063874, 'B': 0.916137491322733, 'C': 1.157920480350509}","{1: {'A': 0.7146539640264918, 'B': 0.4936268442392523, 'C': 0.5736409240233248}, 2: {'A': 0.7146539640264918, 'B': 0.4936268442392523, 'C': 0.5736409240233248}, 3: {'A': 0.7146539640264918, 'B': 0.4936268442392523, 'C': 0.5736409240233248}}","{1: {'A': 0.5942498714018143, 'B': 0.5939240993069461, 'C': 0.593974954780947}, 2: {'A': 0.5942498714018143, 'B': 0.5939240993069461, 'C': 0.593974954780947}, 3: {'A': 0.5942498714018143, 'B': 0.5939240993069461, 'C': 0.593974954780947}}",4
5,221.71532764468375,"{'A': 0.33497719281935107, 'B': 0.3322136162879439, 'C': 0.332809190892705}","{'A': 2.9767615224913686, 'B': 1.3199087608548896, 'C': 1.6781369344191683}","{1: {'A': 0.9953545744849813, 'B': 0.4037712695321566, 'C': 0.5202164540686594}, 2: {'A': 0.9953545744849813, 'B': 0.4037712695321566, 'C': 0.5202164540686594}, 3: {'A': 0.9953545744849813, 'B': 0.4037712695321566, 'C': 0.5202164540686594}}","{1: {'A': 0.6411211584159844, 'B': 0.6395838243698506, 'C': 0.6397132857988481}, 2: {'A': 0.6411211584159844, 'B': 0.6395838243698506, 'C': 0.6397132857988481}, 3: {'A': 0.6411211584159844, 'B': 0.6395838243698506, 'C': 0.6397132857988481}}",5
6,222.33463780934036,"{'A': 0.3351308248623949, 'B': 0.33213368208576166, 'C': 0.3327354930518434}","{'A': 3.6877775266137363, 'B': 1.8910909642697473, 'C': 2.2531538499878367}","{1: {'A': 0.7110160041223674, 'B': 0.5711822034148576, 'C': 0.5750169155686682}, 2: {'A': 0.7110160041223674, 'B': 0.5711822034148576, 'C': 0.5750169155686682}, 3: {'A': 0.7110160041223674, 'B': 0.5711822034148576, 'C': 0.5750169155686682}}","{1: {'A': 0.6195396201447068, 'B': 0.6189768058976028, 'C': 0.6189588773189598}, 2: {'A': 0.6195396201447068, 'B': 0.6189768058976028, 'C': 0.6189588773189598}, 3: {'A': 0.6195396201447068, 'B': 0.6189768058976028, 'C': 0.6189588773189598}}",6
7,222.96139166539146,"{'A': 0.33494456763874586, 'B': 0.33206175551285044, 'C': 0.33299367684840353}","{'A': 4.203345548634533, 'B': 2.4745283088721424, 'C': 3.0350361403497272}","{1: {'A': 0.5155680220207969, 'B': 0.5834373446023948, 'C': 0.7818822903618906}, 2: {'A': 0.5155680220207969, 'B': 0.5834373446023948, 'C': 0.7818822903618906}, 3: {'A': 0.5155680220207969, 'B': 0.5834373446023948, 'C': 0.7818822903618906}}","{1: {'A': 0.6263077134401556, 'B': 0.6268569899844181, 'C': 0.6275774311884277}, 2: {'A': 0.6263077134401556, 'B': 0.6268569899844181, 'C': 0.6275774311884277}, 3: {'A': 0.6263077134401556, 'B': 0.6268569899844181, 'C': 0.6275774311884277}}",7
8,223.21120879940472,"{'A': 0.33551782332830604, 'B': 0.3318507694896264, 'C': 0.3326314071820675}","{'A': 4.795168938018234, 'B': 2.5972286783231295, 'C': 3.067151321238219}","{1: {'A': 0.5918233893837007, 'B': 0.12270036945098728, 'C': 0.03211518088849197}, 2: {'A': 0.5918233893837007, 'B': 0.12270036945098728, 'C': 0.03211518088849197}, 3: {'A': 0.5918233893837007, 'B': 0.12270036945098728, 'C': 0.03211518088849197}}","{1: {'A': 0.2514419861476256, 'B': 0.24850820102096804, 'C': 0.24793070882094526}, 2: {'A': 0.2514419861476256, 'B': 0.24850820102096804, 'C': 0.24793070882094526}, 3: {'A': 0.2514419861476256, 'B': 0.24850820102096804, 'C': 0.24793070882094526}}",8
9,223.9974104116453,"{'A': 0.3357415701495229, 'B': 0.33219427798792717, 'C': 0.3320641518625499}","{'A': 5.7147001284679355, 'B': 3.590349101416158, 'C': 3.511990365602372}","{1: {'A': 0.9195311904497012, 'B': 0.9931204230930285, 'C': 0.44483904436415267}, 2: {'A': 0.9195311904497012, 'B': 0.9931204230930285, 'C': 0.44483904436415267}, 3: {'A': 0.9195311904497012, 'B': 0.9931204230930285, 'C': 0.44483904436415267}}","{1: {'A': 0.7870497176481308, 'B': 0.7868768371179442, 'C': 0.7842309547147579}, 2: {'A': 0.7870497176481308, 'B': 0.7868768371179442, 'C': 0.7842309547147579}, 3: {'A': 0.7870497176481308, 'B': 0.7868768371179442, 'C': 0.7842309547147579}}",9
10,224.45505012696495,"{'A': 0.33594188460574126, 'B': 0.33186962871317444, 'C': 0.3321884866810842}","{'A': 6.291630834648774, 'B': 3.8524357699033946, 'C': 4.044502087608539}","{1: {'A': 0.5769307061808379, 'B': 0.2620866684872367, 'C': 0.5325117220061668}, 2: {'A': 0.5769307061808379, 'B': 0.2620866684872367, 'C': 0.5325117220061668}, 3: {'A': 0.5769307061808379, 'B': 0.2620866684872367, 'C': 0.5325117220061668}}","{1: {'A': 0.45837061156532855, 'B': 0.45605416067201077, 'C': 0.4576667986322889}, 2: {'A': 0.45837061156532855, 'B': 0.45605416067201077, 'C': 0.4576667986322889}, 3: {'A': 0.45837061156532855, 'B': 0.45605416067201077, 'C': 0.4576667986322889}}",10
11,225.01715495553108,"{'A': 0.3362906634721866, 'B': 0.33206614422459224, 'C': 0.3316431923032212}","{'A': 7.061270331828424, 'B': 4.532934892114532, 'C': 4.278032961196125}","{1: {'A': 0.76963949717965, 'B': 0.6804991222111367, 'C': 0.23353087358758606}, 2: {'A': 0.76963949717965, 'B': 0.6804991222111367, 'C': 0.23353087358758606}, 3: {'A': 0.76963949717965, 'B': 0.6804991222111367, 'C': 0.23353087358758606}}","{1: {'A': 0.5635571521802376, 'B': 0.5621282914194126, 'C': 0.5591452282934597}, 2: {'A': 0.5635571521802376, 'B': 0.5621282914194126, 'C': 0.5591452282934597}, 3: {'A': 0.5635571521802376, 'B': 0.5621282914194126, 'C': 0.5591452282934597}}",11
12,225.6426338494516,"{'A': 0.3366832059708222, 'B': 0.3316507812616251, 'C': 0.33166601276755264}","{'A': 7.920067374329743, 'B': 4.908088382995245, 'C': 4.917273439708598}","{1: {'A': 0.8587970425013187, 'B': 0.37515349088071326, 'C': 0.6392404785124735}, 2: {'A': 0.8587970425013187, 'B': 0.37515349088071326, 'C': 0.6392404785124735}, 3: {'A': 0.8587970425013187, 'B': 0.37515349088071326, 'C': 0.6392404785124735}}","{1: {'A': 0.6272698300229251, 'B': 0.6226051003731357, 'C': 0.6246002526226562}, 2: {'A': 0.6272698300229251, 'B': 0.6226051003731357, 'C': 0.6246002526226562}, 3: {'A': 0.6272698300229251, 'B': 0.6226051003731357, 'C': 0.6246002526226562}}",12
13,226.0193909857032,"{'A': 0.3368171992627865, 'B': 0.33138510435960555, 'C': 0.331797696377608}","{'A': 8.376404741085155, 'B': 5.124566462260631, 'C': 5.373422174909376}","{1: {'A': 0.4563373667554119, 'B': 0.21647807926538631, 'C': 0.4561487352007776}, 2: {'A': 0.4563373667554119, 'B': 0.21647807926538631, 'C': 0.4561487352007776}, 3: {'A': 0.4563373667554119, 'B': 0.21647807926538631, 'C': 0.4561487352007776}}","{1: {'A': 0.3774162096942746, 'B': 0.3750407393584396, 'C': 0.3770100740827331}, 2: {'A': 0.3774162096942746, 'B': 0.3750407393584396, 'C': 0.3770100740827331}, 3: {'A': 0.3774162096942746, 'B': 0.3750407393584396, 'C': 0.3770100740827331}}",13
14,226.2676324698202,"{'A': 0.3366175272507204, 'B': 0.33141710895921306, 'C': 0.33196536379006664}","{'A': 8.506047043986186, 'B': 5.39212266741462, 'C': 5.722704181517933}","{1: {'A': 0.12964230290103085, 'B': 0.26755620515398926, 'C': 0.349282006608558}, 2: {'A': 0.12964230290103085, 'B': 0.26755620515398926, 'C': 0.349282006608558}, 3: {'A': 0.12964230290103085, 'B': 0.26755620515398926, 'C': 0.349282006608558}}","{1: {'A': 0.24717223387978038, 'B': 0.2490078514337597, 'C': 0.24975105524998753}, 2: {'A': 0.24717223387978038, 'B': 0.2490078514337597, 'C': 0.24975105524998753}, 3: {'A': 0.24717223387978038, 'B': 0.2490078514337597, 'C': 0.24975105524998753}}",14
15,226.7754610448395,"{'A': 0.336908833000718, 'B': 0.3308792397377975, 'C': 0.3322119272614845}","{'A': 9.18687895509055, 'B': 5.575100084353621, 'C': 6.37902532685923}","{1: {'A': 0.6808319111043644, 'B': 0.1829774169390005, 'C': 0.6563211453412962}, 2: {'A': 0.6808319111043644, 'B': 0.1829774169390005, 'C': 0.6563211453412962}, 3: {'A': 0.6808319111043644, 'B': 0.1829774169390005, 'C': 0.6563211453412962}}","{1: {'A': 0.5093262933864082, 'B': 0.5039202379207381, 'C': 0.5082743545323751}, 2: {'A': 0.5093262933864082, 'B': 0.5039202379207381, 'C': 0.5082743545323751}, 3: {'A': 0.5093262933864082, 'B': 0.5039202379207381, 'C': 0.5082743545323751}}",15
16,227.2776447177138,"{'A': 0.3371345018862696, 'B': 0.33118665275977366, 'C': 0.3316788453539568}","{'A': 9.82298214459129, 'B': 6.263013333423935, 'C': 6.560022416587231}","{1: {'A': 0.6361031895007386, 'B': 0.6879132490703135, 'C': 0.18099708972800155}, 2: {'A': 0.6361031895007386, 'B': 0.6879132490703135, 'C': 0.18099708972800155}, 3: {'A': 0.6361031895007386, 'B': 0.6879132490703135, 'C': 0.18099708972800155}}","{1: {'A': 0.50387334963321, 'B': 0.503538886599614, 'C': 0.4983748928028149}, 2: {'A': 0.50387334963321, 'B': 0.503538886599614, 'C': 0.4983748928028149}, 3: {'A': 0.50387334963321, 'B': 0.503538886599614, 'C': 0.4983748928028149}}",16
17,227.90834315773773,"{'A': 0.336856790982897, 'B': 0.3311658255372342, 'C': 0.33197738347986877}","{'A': 10.288864853594927, 'B': 6.881134045891219, 'C': 7.37065627080797}","{1: {'A': 0.46588270900363593, 'B': 0.6181207124672847, 'C': 0.8106338542207387}, 2: {'A': 0.46588270900363593, 'B': 0.6181207124672847, 'C': 0.8106338542207387}, 3: {'A': 0.46588270900363593, 'B': 0.6181207124672847, 'C': 0.8106338542207387}}","{1: {'A': 0.6288617949068964, 'B': 0.6314541314093844, 'C': 0.633564454228349}, 2: {'A': 0.6288617949068964, 'B': 0.6314541314093844, 'C': 0.633564454228349}, 3: {'A': 0.6288617949068964, 'B': 0.6314541314093844, 'C': 0.633564454228349}}",17
18,228.36400607778882,"{'A': 0.33656448621888707, 'B': 0.33159895043984366, 'C': 0.33183656334126926}","{'A': 10.570904045223292, 'B': 7.598201904748992, 'C': 7.741464004319953}","{1: {'A': 0.2820391916283653, 'B': 0.7170678588577726, 'C': 0.3708077335119824}, 2: {'A': 0.2820391916283653, 'B': 0.7170678588577726, 'C': 0.3708077335119824}, 3: {'A': 0.2820391916283653, 'B': 0.7170678588577726, 'C': 0.3708077335119824}}","{1: {'A': 0.4537068480561288, 'B': 0.4597309362914359, 'C': 0.45566470268752823}, 2: {'A': 0.4537068480561288, 'B': 0.4597309362914359, 'C': 0.45566470268752823}, 3: {'A': 0.4537068480561288, 'B': 0.4597309362914359, 'C': 0.45566470268752823}}",18
19,228.758702280465,"{'A': 0.3362936065350761, 'B': 0.3309463021584002, 'C': 0.3327600913065237}","{'A': 10.804567958112349, 'B': 7.598873101596418, 'C': 8.692003245472325}","{1: {'A': 0.23366391288905664, 'B': 0.0006711968474264474, 'C': 0.9505392411523715}, 2: {'A': 0.23366391288905664, 'B': 0.0006711968474264474, 'C': 0.9505392411523715}, 3: {'A': 0.23366391288905664, 'B': 0.0006711968474264474, 'C': 0.9505392411523715}}","{1: {'A': 0.39249430911786476, 'B': 0.39034208234500056, 'C': 0.40258529004333354}, 2: {'A': 0.39249430911786476, 'B': 0.39034208234500056, 'C': 0.40258529004333354}, 3: {'A': 0.39249430911786476, 'B': 0.39034208234500056, 'C': 0.40258529004333354}}",19
20,229.11514360113986,"{'A': 0.33631397860666856, 'B': 0.3307728590507741, 'C': 0.3329131623425573}","{'A': 11.173124557918047, 'B': 7.850470481357714, 'C': 9.140424250109323}","{1: {'A': 0.36855659980569877, 'B': 0.2515973797612965, 'C': 0.4484210046369984}, 2: {'A': 0.36855659980569877, 'B': 0.2515973797612965, 'C': 0.4484210046369984}, 3: {'A': 0.36855659980569877, 'B': 0.2515973797612965, 'C': 0.4484210046369984}}","{1: {'A': 0.3564323345253513, 'B': 0.35487518466953816, 'C': 0.35755369220282773}, 2: {'A': 0.3564323345253513, 'B': 0.35487518466953816, 'C': 0.35755369220282773}, 3: {'A': 0.3564323345253513, 'B': 0.35487518466953816, 'C': 0.35755369220282773}}",20
21,229.78655401145113,"{'A': 0.3364198575475099, 'B': 0.33077219790001816, 'C': 0.3328079445524719}","{'A': 11.907489400443252, 'B': 8.521481130081144, 'C': 9.748614317924702}","{1: {'A': 0.7343648425252047, 'B': 0.6710106487234296, 'C': 0.6081900678153783}, 2: {'A': 0.7343648425252047, 'B': 0.6710106487234296, 'C': 0.6081900678153783}, 3: {'A': 0.7343648425252047, 'B': 0.6710106487234296, 'C': 0.6081900678153783}}","{1: {'A': 0.6723824191992094, 'B': 0.6711927234357518, 'C': 0.6702282835471465}, 2: {'A': 0.6723824191992094, 'B': 0.6711927234357518, 'C': 0.6702282835471465}, 3: {'A': 0.6723824191992094, 'B': 0.6711927234357518, 'C': 0.6702282835471465}}",21
22,230.5283803743798,"{'A': 0.3363372923779978, 'B': 0.3307750812954939, 'C': 0.33288762632650837}","{'A': 12.600225139847062, 'B': 9.265050918198835, 'C': 10.53831948786525}","{1: {'A': 0.6927357394038097, 'B': 0.743569788117691, 'C': 0.789705169940548}, 2: {'A': 0.6927357394038097, 'B': 0.743569788117691, 'C': 0.789705169940548}, 3: {'A': 0.6927357394038097, 'B': 0.743569788117691, 'C': 0.789705169940548}}","{1: {'A': 0.7410202622907036, 'B': 0.7420298307273754, 'C': 0.7427887470785208}, 2: {'A': 0.7410202622907036, 'B': 0.7420298307273754, 'C': 0.7427887470785208}, 3: {'A': 0.7410202622907036, 'B': 0.7420298307273754, 'C': 0.7427887470785208}}",22
23,230.86109387385793,"{'A': 0.3364912239563768, 'B': 0.33084004156330066, 'C': 0.3326687344803225}","{'A': 13.024451752891368, 'B': 9.637038168092333, 'C': 10.73947877678026}","{1: {'A': 0.424226613044306, 'B': 0.37198724989349785, 'C': 0.20115928891501056}, 2: {'A': 0.424226613044306, 'B': 0.37198724989349785, 'C': 0.20115928891501056}, 3: {'A': 0.424226613044306, 'B': 0.37198724989349785, 'C': 0.20115928891501056}}","{1: {'A': 0.3344273382067513, 'B': 0.3330951521941188, 'C': 0.33015475308582154}, 2: {'A': 0.3344273382067513, 'B': 0.3330951521941188, 'C': 0.33015475308582154}, 3: {'A': 0.3344273382067513, 'B': 0.3330951521941188, 'C': 0.33015475308582154}}",23
24,231.08749652087832,"{'A': 0.33631181858489456, 'B': 0.33085728416535287, 'C': 0.3328308972497525}","{'A': 13.144192946624202, 'B': 9.87386407141786, 'C': 11.063349710728462}","{1: {'A': 0.11974119373283276, 'B': 0.23682590332552678, 'C': 0.32387093394820166}, 2: {'A': 0.11974119373283276, 'B': 0.23682590332552678, 'C': 0.32387093394820166}, 3: {'A': 0.11974119373283276, 'B': 0.23682590332552678, 'C': 0.32387093394820166}}","{1: {'A': 0.22448148545998947, 'B': 0.22699198503329399, 'C': 0.2285827873980395}, 2: {'A': 0.22448148545998947, 'B': 0.22699198503329399, 'C': 0.2285827873980395}, 3: {'A': 0.22448148545998947, 'B': 0.22699198503329399, 'C': 0.2285827873980395}}",24
